model,horizon_min,mae_c,rmse_c,count,inference_s,scenario,heldout_distribution_shift
ridge,15,2.2417774200439453,2.3567070960998535,312,0.006206800011568703,burst,False
ridge,30,5.011135101318359,5.191932201385498,312,0.006206800011568703,burst,False
ridge,60,5.74923849105835,5.925894737243652,312,0.006206800011568703,burst,False
ridge,5,0.34657731652259827,0.36617475748062134,312,0.006206800011568703,cooling_degradation,False
ridge,10,0.9184568524360657,0.9369064569473267,312,0.006206800011568703,cooling_degradation,False
ridge,15,1.670085072517395,1.6899715662002563,312,0.006206800011568703,cooling_degradation,False
ridge,30,3.097719669342041,3.1383097171783447,312,0.006206800011568703,cooling_degradation,False
ridge,60,9.52607250213623,9.579030990600586,312,0.006206800011568703,cooling_degradation,False
ridge,5,0.13815033435821533,0.1801358014345169,8508,0.006206800011568703,hot_ambient,True
ridge,10,0.30937445163726807,0.4187472462654114,8508,0.006206800011568703,hot_ambient,True
ridge,15,0.5462509393692017,0.7521253228187561,8508,0.006206800011568703,hot_ambient,True
ridge,30,0.9789772629737854,1.3032126426696777,8508,0.006206800011568703,hot_ambient,True
ridge,60,4.9914445877075195,6.033182144165039,8508,0.006206800011568703,hot_ambient,True
ridge,5,0.3887839615345001,0.4023468494415283,312,0.006206800011568703,normal,False
ridge,10,0.9800004363059998,0.9910152554512024,312,0.006206800011568703,normal,False
ridge,15,1.7277209758758545,1.7374763488769531,312,0.006206800011568703,normal,False
ridge,30,2.9987895488739014,3.010999917984009,312,0.006206800011568703,normal,False
ridge,60,10.03933048248291,10.054059982299805,312,0.006206800011568703,normal,False
ridge,5,0.22926992177963257,0.2869201600551605,8508,0.006206800011568703,skewed,True
ridge,10,0.5108469724655151,0.636460542678833,8508,0.006206800011568703,skewed,True
ridge,15,0.8627519011497498,1.0799086093902588,8508,0.006206800011568703,skewed,True
ridge,30,1.6110279560089111,2.034726619720459,8508,0.006206800011568703,skewed,True
ridge,60,3.9229507446289062,4.946498394012451,8508,0.006206800011568703,skewed,True
random_forest,5,1.8665958050198304,2.6896481710309623,312,0.025461100012762472,burst,False
random_forest,10,1.845748032517817,2.6505654906442033,312,0.025461100012762472,burst,False
random_forest,15,1.938655198120465,2.725688407026986,312,0.025461100012762472,burst,False
random_forest,30,2.477146194063707,3.095147335294658,312,0.025461100012762472,burst,False
random_forest,60,2.1547294899373637,2.6247969086980456,312,0.025461100012762472,burst,False
random_forest,5,0.6584506843316974,0.838057985301433,312,0.025461100012762472,cooling_degradation,False
random_forest,10,0.8174586635776707,1.0200696964300482,312,0.025461100012762472,cooling_degradation,False
random_forest,15,0.9771469103285835,1.2589932119751572,312,0.025461100012762472,cooling_degradation,False
random_forest,30,1.2349634941723313,1.6944396777819581,312,0.025461100012762472,cooling_degradation,False
random_forest,60,2.0210980730350268,2.2256441531354807,312,0.025461100012762472,cooling_degradation,False
random_forest,5,0.5795498553355006,0.9010216470733404,8508,0.025461100012762472,hot_ambient,True
random_forest,10,0.7790776908970014,1.070496974927689,8508,0.025461100012762472,hot_ambient,True
random_forest,15,0.9587991026577952,1.2695026789362829,8508,0.025461100012762472,hot_ambient,True
random_forest,30,1.2375526499276266,1.6381399820187152,8508,0.025461100012762472,hot_ambient,True
random_forest,60,1.2297867730519498,1.4910194925441134,8508,0.025461100012762472,hot_ambient,True
random_forest,5,0.49772992612804845,0.7664751311751498,312,0.025461100012762472,normal,False
random_forest,10,0.5681781745969832,0.8045980380613493,312,0.025461100012762472,normal,False
random_forest,15,0.6331752068208526,0.8336904709016161,312,0.025461100012762472,normal,False
random_forest,30,0.6820178359025137,0.7815352398693116,312,0.025461100012762472,normal,False
random_forest,60,1.6239516735507566,1.7835664885275053,312,0.025461100012762472,normal,False
random_forest,5,1.9611276438111827,3.4124226295864304,8508,0.025461100012762472,skewed,True
random_forest,10,2.0374898252427056,3.3706142407326225,8508,0.025461100012762472,skewed,True
random_forest,15,2.1122952045200214,3.3413768712042393,8508,0.025461100012762472,skewed,True
random_forest,30,2.1720162257635565,3.0625996562972264,8508,0.025461100012762472,skewed,True
random_forest,60,1.9631836057074419,2.330970152859915,8508,0.025461100012762472,skewed,True
gradient_boosting,5,2.0259643702823475,2.8758361736804625,312,0.02830730000277981,burst,False
gradient_boosting,10,2.1143661858624823,3.005519264322344,312,0.02830730000277981,burst,False
