model,horizon_min,mae_c,rmse_c,count,inference_s,rack_id
random_forest,10,0.3658317149951807,0.43691596778816305,1496,0.025461100012762472,5
random_forest,15,0.4778595573503362,0.5809305727313152,1496,0.025461100012762472,5
random_forest,30,0.7454380449263782,0.8982168218211636,1496,0.025461100012762472,5
random_forest,60,1.5432383668423657,1.8098210459330695,1496,0.025461100012762472,5
random_forest,5,0.254615288675386,0.3393731123367903,1496,0.025461100012762472,6
random_forest,10,0.37464155399948984,0.4570813568610446,1496,0.025461100012762472,6
random_forest,15,0.48756315906643705,0.5847535709946279,1496,0.025461100012762472,6
random_forest,30,0.7776928423037988,0.9014022637674912,1496,0.025461100012762472,6
random_forest,60,1.6777627703968745,1.9047830571003408,1496,0.025461100012762472,6
random_forest,5,0.2752356525919146,0.4188377893049605,1496,0.025461100012762472,7
random_forest,10,0.3870241396124841,0.5033147648908554,1496,0.025461100012762472,7
random_forest,15,0.48464671507451695,0.5984144008788636,1496,0.025461100012762472,7
random_forest,30,0.7222037839200774,0.8680394708762834,1496,0.025461100012762472,7
random_forest,60,1.626191002674836,1.8427290933382636,1496,0.025461100012762472,7
random_forest,5,0.5148669562528311,0.8010566728529204,1496,0.025461100012762472,8
random_forest,10,0.8142980923732067,1.0890952610142992,1496,0.025461100012762472,8
random_forest,15,1.0919758550277572,1.3978232475066177,1496,0.025461100012762472,8
random_forest,30,1.547634043779085,1.924444773518924,1496,0.025461100012762472,8
random_forest,60,1.5290349602802997,1.8086685421563355,1496,0.025461100012762472,8
random_forest,5,0.49050770843871566,0.8007505989060718,1496,0.025461100012762472,9
random_forest,10,0.787587937078771,1.0873625053028504,1496,0.025461100012762472,9
random_forest,15,1.0720141586730212,1.4070781551330382,1496,0.025461100012762472,9
random_forest,30,1.6189190504424102,2.0444511513133765,1496,0.025461100012762472,9
random_forest,60,1.6529166944717073,1.9915116523359588,1496,0.025461100012762472,9
random_forest,5,0.5080330625052444,0.8328744725375702,1496,0.025461100012762472,10
random_forest,10,0.8088684955839118,1.1084338479539448,1496,0.025461100012762472,10
random_forest,15,1.0943308597792745,1.4187729415296975,1496,0.025461100012762472,10
random_forest,30,1.6290376037472658,2.0131906162853586,1496,0.025461100012762472,10
random_forest,60,1.7158862777215376,2.0922824377109284,1496,0.025461100012762472,10
random_forest,5,0.5275630811370037,0.8128094527152746,1496,0.025461100012762472,11
random_forest,10,0.8388011042790454,1.1140626823429305,1496,0.025461100012762472,11
random_forest,15,1.131386907478084,1.4356483691098132,1496,0.025461100012762472,11
random_forest,30,1.71972323944094,2.0899557189031515,1496,0.025461100012762472,11
random_forest,60,1.825179035184674,2.114834371888694,1496,0.025461100012762472,11
gradient_boosting,5,3.2510628798111423,4.371292795705202,1496,0.02830730000277981,0
gradient_boosting,10,3.3204039042211577,4.427864417386534,1496,0.02830730000277981,0
gradient_boosting,15,3.3762275256362857,4.467754870336617,1496,0.02830730000277981,0
gradient_boosting,30,3.26701338314244,4.232704224945503,1496,0.02830730000277981,0
gradient_boosting,60,2.6127587517058575,3.2354455887635445,1496,0.02830730000277981,0
